600207 安彩高科 得分10/12 | 涨+4.5% MA多头=✓ 斐波=>0.618 MACD=金叉
603955 大千生态 得分10/12 | 涨+3.8% MA多头=✓ 斐波=>0.618 MACD=金叉
002785 万里石 得分9/12 | 涨+3.9% MA多头=✓ 斐波=>0.618 MACD=死叉
000797 中国武夷 得分9/12 | 涨+3.7% MA多头=✓ 斐波=>0.618 MACD=金叉
601579 会稽山 得分9/12 | 涨+3.5% MA多头=✓ 斐波=>0.618 MACD=死叉
001288 运机集团 得分9/12 | 涨+3.4% MA多头=✓ 斐波=>0.618 MACD=金叉
000670 盈方微 得分8/12 | 涨+4.9% MA多头=✓ 斐波=>0.618 MACD=死叉
002638 勤上股份 得分8/12 | 涨+4.0% MA多头=✗ 斐波=>0.618 MACD=金叉
603121 华培动力 得分8/12 | 涨+4.0% MA多头=✗ 斐波=0.5-0.618 MACD=死叉
600758 辽宁能源 得分8/12 | 涨+3.7% MA多头=✗ 斐波=0.382-0.5 MACD=死叉
000700 模塑科技 得分8/12 | 涨+3.4% MA多头=✓ 斐波=>0.618 MACD=死叉
002520 日发精机 得分8/12 | 涨+3.4% MA多头=✗ 斐波=>0.618 MACD=死叉
002568 百润股份 得分8/12 | 涨+3.3% MA多头=✗ 斐波=0.5-0.618 MACD=金叉
603092 德力佳传动 得分6/12 | 涨+4.8% MA多头=✗ 斐波=0.382-0.5 MACD=死叉
605488 福莱新材 得分6/12 | 涨+3.9% MA多头=✗ 斐波=>0.618 MACD=死叉
