隔夜持股法改进版 — 2026-07-29
==================================================

#1 000690 宝新能源 [数据:100%]
  涨4.9% 量比2.02 换手7.22727% 市值110.75亿
  MA10=4.87 MA20=4.73 多头:True 通道:True

#2 000848 承德露露 [数据:100%]
  涨4.7% 量比2.87 换手4.03637% 市值90.47亿
  MA10=8.31 MA20=8.2 多头:True 通道:True

#3 601083 锦江航运 [数据:100%]
  涨4.4% 量比2.68 换手6.79218% 市值146.36亿
  MA10=10.72 MA20=10.56 多头:True 通道:True

#4 600881 亚泰集团 [数据:100%]
  涨4.4% 量比1.63 换手8.63533% 市值61.09亿
  MA10=1.76 MA20=1.65 多头:True 通道:True

#5 600325 华发股份 [数据:100%]
  涨4.1% 量比1.51 换手3.18521% 市值69.08亿
  MA10=2.42 MA20=2.39 多头:True 通道:True

#6 002570 贝因美 [数据:100%]
  涨3.9% 量比2.65 换手4.31734% 市值46.23亿
  MA10=4.11 MA20=4.08 多头:True 通道:True

#7 601677 明泰铝业 [数据:100%]
  涨4.6% 量比1.37 换手3.3418% 市值204.65亿
  MA10=15.97 MA20=15.85 多头:True 通道:True

#8 000612 焦作万方 [数据:100%]
  涨4.6% 量比1.38 换手4.14526% 市值131.26亿
  MA10=10.66 MA20=10.54 多头:True 通道:True

#9 002387 维信诺 [数据:100%]
  涨5.0% 量比3.01 换手3.07249% 市值100.57亿
  MA10=6.43 MA20=7.17 多头:False 通道:True

#10 600072 中船科技 [数据:100%]
  涨4.2% 量比1.53 换手3.25057% 市值135.51亿
  MA10=8.4 MA20=8.41 多头:False 通道:True

#11 002276 万马股份 [数据:100%]
  涨3.9% 量比1.81 换手3.6326% 市值101.71亿
  MA10=9.59 MA20=9.71 多头:False 通道:True

#12 000572 海马汽车 [数据:100%]
  涨3.9% 量比1.67 换手4.62287% 市值61.18亿
  MA10=3.49 MA20=3.56 多头:False 通道:True

#13 000691 亚太实业 [数据:100%]
  涨4.7% 量比1.98 换手5.64961% 市值46.02亿
  MA10=9.81 MA20=10.57 多头:False 通道:False

#14 600577 精达股份 [数据:100%]
  涨4.4% 量比1.25 换手4.07455% 市值162.84亿
  MA10=7.26 MA20=7.99 多头:False 通道:False

#15 603612 索通发展 [数据:100%]
  涨4.3% 量比1.28 换手3.3003% 市值84.18亿
  MA10=15.72 MA20=16.08 多头:False 通道:True
