隔夜持股法改进版 — 2026-08-06
==================================================

#1 002041 登海种业 [数据:100%]
  涨4.6% 量比2.64 换手4.3395% 市值80.43亿
  MA10=8.67 MA20=8.54 多头:True 通道:True

#2 603679 华体科技 [数据:100%]
  涨4.1% 量比1.22 换手8.9798% 市值40.21亿
  MA10=19.35 MA20=18.15 多头:True 通道:True

#3 600395 盘江股份 [数据:100%]
  涨4.1% 量比2.91 换手3.20642% 市值108.62亿
  MA10=4.85 MA20=4.77 多头:True 通道:True

#4 001337 四川黄金 [数据:100%]
  涨4.0% 量比1.86 换手7.92954% 市值189.04亿
  MA10=39.93 MA20=37.84 多头:True 通道:True

#5 002017 东信和平 [数据:100%]
  涨3.6% 量比2.12 换手5.57785% 市值84.16亿
  MA10=13.5 MA20=13.16 多头:True 通道:True

#6 002474 榕基软件 [数据:100%]
  涨3.4% 量比1.4 换手6.65357% 市值41.44亿
  MA10=6.15 MA20=5.9 多头:True 通道:True

#7 000019 深粮控股 [数据:100%]
  涨3.3% 量比3.49 换手5.16835% 市值72.49亿
  MA10=6.07 MA20=6.04 多头:True 通道:True

#8 000859 国风新材 [数据:100%]
  涨3.2% 量比1.21 换手7.72015% 市值79.83亿
  MA10=8.21 MA20=7.95 多头:True 通道:True

#9 002796 世嘉科技 [数据:100%]
  涨4.8% 量比1.68 换手8.49914% 市值73.64亿
  MA10=26.28 MA20=27.93 多头:False 通道:True

#10 000756 新华制药 [数据:100%]
  涨4.5% 量比3.02 换手5.23632% 市值99.56亿
  MA10=13.57 MA20=13.79 多头:False 通道:True

#11 001400 江顺科技 [数据:100%]
  涨4.4% 量比1.75 换手7.11173% 市值64.25亿
  MA10=68.74 MA20=74.07 多头:False 通道:True

#12 002741 光华科技 [数据:100%]
  涨4.4% 量比1.53 换手8.55814% 市值112.04亿
  MA10=21.84 MA20=23.83 多头:False 通道:True

#13 605006 山东玻纤 [数据:100%]
  涨4.2% 量比1.37 换手7.73539% 市值94.31亿
  MA10=13.12 MA20=13.81 多头:False 通道:True

#14 002158 汉钟精机 [数据:100%]
  涨3.9% 量比1.26 换手3.2383% 市值151.81亿
  MA10=26.08 MA20=27.78 多头:False 通道:True

#15 603626 科森科技 [数据:100%]
  涨3.8% 量比1.32 换手8.8757% 市值87.01亿
  MA10=13.52 MA20=14.0 多头:False 通道:True
