隔夜持股法改进版 — 2026-08-10
==================================================

#1 003010 若羽臣 [数据:100%]
  涨4.9% 量比1.68 换手7.26052% 市值86.01亿
  MA10=26.41 MA20=25.68 多头:True 通道:True

#2 002389 航天彩虹 [数据:100%]
  涨4.8% 量比1.63 换手4.24463% 市值190.58亿
  MA10=18.64 MA20=18.06 多头:True 通道:True

#3 603439 三力制药 [数据:100%]
  涨4.7% 量比1.65 换手3.68861% 市值47.33亿
  MA10=10.66 MA20=10.62 多头:True 通道:True

#4 600379 宝光股份 [数据:100%]
  涨4.7% 量比1.28 换手8.4841% 市值47.12亿
  MA10=12.24 MA20=11.87 多头:True 通道:True

#5 002440 闰土股份 [数据:100%]
  涨4.7% 量比1.24 换手7.97454% 市值155.9亿
  MA10=13.23 MA20=12.47 多头:True 通道:True

#6 002870 香山股份 [数据:100%]
  涨4.5% 量比1.69 换手3.29826% 市值56.24亿
  MA10=39.33 MA20=39.16 多头:True 通道:True

#7 603906 龙蟠科技 [数据:100%]
  涨4.3% 量比1.64 换手6.76082% 市值160.52亿
  MA10=19.13 MA20=18.82 多头:True 通道:True

#8 000782 恒申新材 [数据:100%]
  涨4.3% 量比1.7 换手4.68222% 市值54.72亿
  MA10=7.03 MA20=6.77 多头:True 通道:True

#9 600078 澄星股份 [数据:100%]
  涨4.3% 量比1.23 换手4.8004% 市值77.97亿
  MA10=10.2 MA20=9.9 多头:True 通道:True

#10 600916 中国黄金 [数据:100%]
  涨4.2% 量比1.42 换手4.08644% 市值136.08亿
  MA10=7.75 MA20=7.5 多头:True 通道:True

#11 603363 傲农生物 [数据:100%]
  涨4.2% 量比3.08 换手3.31024% 市值80.57亿
  MA10=2.83 MA20=2.81 多头:True 通道:True

#12 000968 蓝焰控股 [数据:100%]
  涨4.2% 量比1.5 换手3.80027% 市值69.95亿
  MA10=6.95 MA20=6.92 多头:True 通道:True

#13 000837 秦川机床 [数据:100%]
  涨4.2% 量比2.75 换手4.20806% 市值107.23亿
  MA10=9.72 MA20=9.36 多头:True 通道:True

#14 002190 成飞集成 [数据:100%]
  涨4.1% 量比2.34 换手3.1013% 市值86.63亿
  MA10=23.15 MA20=22.41 多头:True 通道:True

#15 000923 河钢资源 [数据:100%]
  涨4.1% 量比1.46 换手3.51295% 市值100.0亿
  MA10=14.8 MA20=14.23 多头:True 通道:True
