隔夜持股法改进版 — 2026-08-17
==================================================

#1 600212 绿能慧充 [数据:100%]
  涨5.0% 量比2.36 换手3.15482% 市值40.21亿
  MA10=5.51 MA20=5.27 多头:True 通道:True

#2 603005 晶方科技 [数据:100%]
  涨4.9% 量比1.25 换手6.27526% 市值229.24亿
  MA10=32.89 MA20=31.46 多头:True 通道:True

#3 603031 安孚科技 [数据:100%]
  涨4.9% 量比2.12 换手6.96438% 市值163.56亿
  MA10=40.38 MA20=38.9 多头:True 通道:True

#4 002079 苏州固锝 [数据:100%]
  涨4.8% 量比1.37 换手4.51143% 市值92.03亿
  MA10=9.64 MA20=9.26 多头:True 通道:True

#5 600864 哈投股份 [数据:100%]
  涨4.7% 量比3.13 换手3.45963% 市值116.93亿
  MA10=5.46 MA20=5.42 多头:True 通道:True

#6 605178 时空科技 [数据:100%]
  涨4.6% 量比1.65 换手6.63222% 市值67.65亿
  MA10=64.97 MA20=64.06 多头:True 通道:True

#7 603324 盛剑科技 [数据:100%]
  涨4.8% 量比1.25 换手3.49216% 市值45.37亿
  MA10=27.64 MA20=26.77 多头:True 通道:True
