隔夜持股法改进版 — 2026-08-18
==================================================

#1 603767 中马传动 [数据:100%]
  涨4.9% 量比5.68 换手5.30211% 市值49.13亿
  MA10=15.18 MA20=14.54 多头:True 通道:True

#2 000061 农 产 品 [数据:100%]
  涨4.8% 量比3.19 换手3.9402% 市值121.48亿
  MA10=5.86 MA20=5.83 多头:True 通道:True

#3 600577 精达股份 [数据:100%]
  涨4.6% 量比3.59 换手6.41418% 市值192.61亿
  MA10=8.25 MA20=7.88 多头:True 通道:True

#4 002931 锋龙股份 [数据:100%]
  涨4.6% 量比2.24 换手7.98887% 市值119.76亿
  MA10=51.69 MA20=47.93 多头:True 通道:True

#5 605133 嵘泰股份 [数据:100%]
  涨4.6% 量比3.33 换手6.16756% 市值82.79亿
  MA10=26.54 MA20=25.54 多头:True 通道:True

#6 002637 赞宇科技 [数据:100%]
  涨4.4% 量比3.09 换手6.91152% 市值53.63亿
  MA10=10.82 MA20=10.26 多头:True 通道:True

#7 002611 东方精工 [数据:100%]
  涨4.3% 量比2.63 换手5.69561% 市值199.03亿
  MA10=15.94 MA20=15.53 多头:True 通道:True

#8 002215 诺 普 信 [数据:100%]
  涨4.3% 量比4.66 换手6.25001% 市值94.3亿
  MA10=9.11 MA20=9.02 多头:True 通道:True

#9 603661 恒林股份 [数据:100%]
  涨4.3% 量比2.23 换手3.31936% 市值47.94亿
  MA10=32.31 MA20=30.32 多头:True 通道:True

#10 600216 浙江医药 [数据:100%]
  涨4.2% 量比1.52 换手8.47052% 市值132.32亿
  MA10=12.88 MA20=12.46 多头:True 通道:True

#11 603556 海兴电力 [数据:100%]
  涨3.8% 量比1.47 换手3.6785% 市值129.35亿
  MA10=25.83 MA20=25.19 多头:True 通道:True

#12 002957 科瑞技术 [数据:100%]
  涨3.8% 量比1.59 换手8.60819% 市值183.87亿
  MA10=40.41 MA20=37.74 多头:True 通道:True

#13 002150 正泰电源 [数据:100%]
  涨3.8% 量比1.44 换手4.41908% 市值87.04亿
  MA10=22.21 MA20=21.73 多头:True 通道:True

#14 002758 浙农股份 [数据:100%]
  涨3.8% 量比3.1 换手3.23982% 市值43.06亿
  MA10=7.92 MA20=7.85 多头:True 通道:True

#15 603211 晋拓股份 [数据:100%]
  涨3.6% 量比1.59 换手3.36588% 市值78.01亿
  MA10=27.04 MA20=25.28 多头:True 通道:True
