隔夜持股法改进版 — 2026-08-19
==================================================

#1 603556 海兴电力 [数据:100%]
  涨4.9% 量比2.14 换手5.89376% 市值135.67亿
  MA10=25.99 MA20=25.43 多头:True 通道:True

#2 600740 山西焦化 [数据:100%]
  涨4.2% 量比3.87 换手4.37628% 市值95.82亿
  MA10=3.61 MA20=3.59 多头:True 通道:True

#3 000025 特 力Ａ [数据:100%]
  涨4.0% 量比5.02 换手6.56362% 市值67.63亿
  MA10=15.15 MA20=14.97 多头:True 通道:True

#4 603876 鼎胜新材 [数据:100%]
  涨3.6% 量比1.64 换手3.69189% 市值219.4亿
  MA10=21.99 MA20=21.79 多头:True 通道:True

#5 002035 华帝股份 [数据:100%]
  涨3.1% 量比2.51 换手3.77073% 市值42.04亿
  MA10=4.87 MA20=4.83 多头:True 通道:True

#6 600792 云煤能源 [数据:100%]
  涨3.0% 量比4.56 换手6.01006% 市值41.73亿
  MA10=3.69 MA20=3.58 多头:True 通道:True

#7 002043 兔 宝 宝 [数据:100%]
  涨4.7% 量比2.48 换手3.63338% 市值107.62亿
  MA10=12.63 MA20=12.79 多头:False 通道:True

#8 601008 连云港 [数据:100%]
  涨3.9% 量比6.08 换手3.75311% 市值56.7亿
  MA10=4.37 MA20=4.37 多头:False 通道:True
