隔夜持股法改进版 — 2026-08-20
==================================================

#1 002707 众信旅游 [数据:100%]
  涨5.0% 量比2.4 换手3.75963% 市值52.08亿
  MA10=5.18 MA20=5.13 多头:True 通道:True

#2 000766 通化金马 [数据:100%]
  涨4.9% 量比1.97 换手3.27962% 市值162.95亿
  MA10=16.77 MA20=16.71 多头:True 通道:True

#3 002237 恒邦股份 [数据:100%]
  涨4.7% 量比2.01 换手4.27271% 市值214.5亿
  MA10=14.32 MA20=13.78 多头:True 通道:True

#4 000949 新乡化纤 [数据:100%]
  涨4.7% 量比1.35 换手3.56252% 市值110.02亿
  MA10=6.5 MA20=6.27 多头:True 通道:True

#5 002393 力生制药 [数据:100%]
  涨4.6% 量比3.24 换手3.20559% 市值46.55亿
  MA10=14.82 MA20=14.51 多头:True 通道:True

#6 600458 时代新材 [数据:100%]
  涨4.6% 量比1.59 换手3.19353% 市值111.02亿
  MA10=11.55 MA20=11.35 多头:True 通道:True

#7 600851 海欣股份 [数据:100%]
  涨4.6% 量比3.07 换手4.97284% 市值108.15亿
  MA10=8.66 MA20=8.22 多头:True 通道:True

#8 605167 利柏特 [数据:100%]
  涨4.5% 量比2.05 换手3.49039% 市值78.53亿
  MA10=14.81 MA20=14.33 多头:True 通道:True

#9 002647 仁东控股 [数据:100%]
  涨4.4% 量比1.53 换手4.47266% 市值141.51亿
  MA10=11.31 MA20=10.32 多头:True 通道:True

#10 603387 基蛋生物 [数据:100%]
  涨4.3% 量比1.8 换手3.86711% 市值48.94亿
  MA10=9.38 MA20=9.07 多头:True 通道:True

#11 600403 大有能源 [数据:100%]
  涨4.3% 量比1.76 换手7.73762% 市值169.99亿
  MA10=6.58 MA20=6.15 多头:True 通道:True

#12 600216 浙江医药 [数据:100%]
  涨4.2% 量比1.28 换手8.77792% 市值139.63亿
  MA10=13.31 MA20=12.66 多头:True 通道:True

#13 000628 高新发展 [数据:100%]
  涨4.1% 量比1.2 换手7.73397% 市值145.25亿
  MA10=40.0 MA20=38.66 多头:True 通道:True

#14 001221 悍高集团 [数据:100%]
  涨4.1% 量比1.68 换手7.56128% 市值174.36亿
  MA10=41.06 MA20=40.26 多头:True 通道:True

#15 002635 安洁科技 [数据:100%]
  涨4.0% 量比1.21 换手6.39543% 市值103.04亿
  MA10=15.57 MA20=14.61 多头:True 通道:True
