隔夜持股法改进版 — 2026-08-21
==================================================

#1 600773 西藏城投 [数据:100%]
  涨5.0% 量比1.52 换手3.00007% 市值106.58亿
  MA10=11.1 MA20=10.9 多头:True 通道:True

#2 002497 雅化集团 [数据:100%]
  涨4.7% 量比1.61 换手5.04574% 市值224.52亿
  MA10=19.1 MA20=18.5 多头:True 通道:True

#3 000751 锌业股份 [数据:100%]
  涨4.3% 量比1.59 换手4.3108% 市值83.04亿
  MA10=5.08 MA20=4.88 多头:True 通道:True

#4 000949 新乡化纤 [数据:100%]
  涨4.2% 量比1.33 换手3.93171% 市值114.66亿
  MA10=6.54 MA20=6.34 多头:True 通道:True

#5 601020 华钰矿业 [数据:100%]
  涨4.1% 量比1.36 换手3.98739% 市值181.54亿
  MA10=22.06 MA20=20.87 多头:True 通道:True

#6 002479 富春环保 [数据:100%]
  涨3.3% 量比1.96 换手4.30752% 市值51.73亿
  MA10=5.75 MA20=5.61 多头:True 通道:True

#7 000007 全新好 [数据:100%]
  涨3.2% 量比1.89 换手6.90899% 市值43.24亿
  MA10=11.14 MA20=10.21 多头:True 通道:True

#8 002237 恒邦股份 [数据:100%]
  涨3.0% 量比1.78 换手4.48296% 市值220.93亿
  MA10=14.44 MA20=13.93 多头:True 通道:True

#9 002843 泰嘉股份 [数据:100%]
  涨4.8% 量比1.34 换手4.72349% 市值41.11亿
  MA10=16.4 MA20=16.16 多头:True 通道:False

#10 002735 王子新材 [数据:100%]
  涨4.7% 量比1.55 换手6.87594% 市值43.53亿
  MA10=11.77 MA20=11.44 多头:True 通道:False

#11 000762 西藏矿业 [数据:100%]
  涨4.6% 量比1.84 换手3.88442% 市值120.83亿
  MA10=23.3 MA20=23.06 多头:True 通道:False

#12 600335 国机汽车 [数据:100%]
  涨4.4% 量比6.97 换手4.20417% 市值78.24亿
  MA10=5.09 MA20=5.12 多头:False 通道:True

#13 002073 软控股份 [数据:100%]
  涨4.2% 量比4.89 换手6.31582% 市值60.85亿
  MA10=5.66 MA20=5.67 多头:False 通道:True
