隔夜持股法改进版 — 2026-08-27
==================================================

#1 603283 赛腾股份 [数据:100%]
  涨5.0% 量比1.32 换手7.83772% 市值170.9亿
  MA10=47.86 MA20=45.16 多头:True 通道:True

#2 601133 柏诚股份 [数据:100%]
  涨4.9% 量比1.47 换手3.21758% 市值142.65亿
  MA10=26.18 MA20=25.63 多头:True 通道:True

#3 603158 腾龙股份 [数据:100%]
  涨4.9% 量比1.55 换手5.29743% 市值53.98亿
  MA10=10.34 MA20=10.27 多头:True 通道:True

#4 002947 恒铭达 [数据:100%]
  涨4.7% 量比1.68 换手8.85811% 市值170.09亿
  MA10=59.63 MA20=58.03 多头:True 通道:True

#5 002328 新朋股份 [数据:100%]
  涨4.7% 量比2.22 换手8.30453% 市值59.89亿
  MA10=7.33 MA20=7.2 多头:True 通道:True

#6 002758 浙农股份 [数据:100%]
  涨4.7% 量比3.12 换手4.50121% 市值44.15亿
  MA10=8.09 MA20=7.99 多头:True 通道:True

#7 002215 诺 普 信 [数据:100%]
  涨4.5% 量比1.5 换手6.83103% 市值105.35亿
  MA10=9.45 MA20=9.3 多头:True 通道:True

#8 600391 航发科技 [数据:100%]
  涨4.5% 量比1.73 换手3.97335% 市值109.67亿
  MA10=31.2 MA20=30.79 多头:True 通道:True

#9 000025 特 力Ａ [数据:100%]
  涨4.4% 量比1.61 换手6.43563% 市值71.81亿
  MA10=15.59 MA20=15.41 多头:True 通道:True

#10 603931 格林达 [数据:100%]
  涨4.5% 量比1.52 换手3.63994% 市值72.96亿
  MA10=36.63 MA20=35.63 多头:True 通道:False

#11 601519 大智慧 [数据:100%]
  涨4.5% 量比2.63 换手4.76325% 市值175.44亿
  MA10=8.06 MA20=8.2 多头:False 通道:True

#12 002734 利民股份 [数据:100%]
  涨4.3% 量比1.75 换手6.54442% 市值77.42亿
  MA10=15.12 MA20=15.19 多头:False 通道:True

#13 600666 奥瑞德 [数据:100%]
  涨4.9% 量比2.89 换手8.05368% 市值99.6亿
  MA10=3.6 MA20=3.69 多头:False 通道:False

#14 000571 新大洲A [数据:100%]
  涨4.7% 量比1.56 换手4.0578% 市值53.7亿
  MA10=6.16 MA20=6.49 多头:False 通道:False

#15 603336 宏辉果蔬 [数据:100%]
  涨4.8% 量比1.22 换手3.67318% 市值58.32亿
  MA10=9.22 MA20=9.61 多头:False 通道:False
