隔夜持股法改进版 — 2026-09-01
==================================================

#1 001236 弘业期货 [数据:100%]
  涨4.8% 量比1.29 换手3.09368% 市值84.15亿
  MA10=7.83 MA20=7.74 多头:True 通道:True

#2 000949 新乡化纤 [数据:100%]
  涨4.5% 量比1.73 换手5.42512% 市值130.07亿
  MA10=7.09 MA20=6.79 多头:True 通道:True

#3 002758 浙农股份 [数据:100%]
  涨4.1% 量比1.4 换手6.1736% 市值48.25亿
  MA10=8.41 MA20=8.16 多头:True 通道:True

#4 002807 江阴银行 [数据:100%]
  涨3.7% 量比2.22 换手3.50145% 市值113.99亿
  MA10=4.05 MA20=4.0 多头:True 通道:True

#5 603323 苏农银行 [数据:100%]
  涨3.7% 量比1.76 换手3.93172% 市值100.14亿
  MA10=4.29 MA20=4.24 多头:True 通道:True

#6 002332 仙琚制药 [数据:100%]
  涨3.7% 量比4.36 换手5.18687% 市值89.42亿
  MA10=8.62 MA20=8.58 多头:True 通道:True

#7 600506 统一股份 [数据:100%]
  涨3.6% 量比1.22 换手6.74835% 市值41.79亿
  MA10=15.52 MA20=15.13 多头:True 通道:True

#8 601222 林洋能源 [数据:100%]
  涨3.4% 量比1.54 换手3.29641% 市值123.09亿
  MA10=5.64 MA20=5.63 多头:True 通道:True

#9 600300 维维股份 [数据:100%]
  涨3.4% 量比1.65 换手3.80175% 市值53.69亿
  MA10=3.22 MA20=3.21 多头:True 通道:True

#10 000906 浙商中拓 [数据:100%]
  涨3.3% 量比1.47 换手3.12631% 市值42.15亿
  MA10=5.53 MA20=5.48 多头:True 通道:True

#11 603976 正川股份 [数据:100%]
  涨3.3% 量比1.58 换手4.00759% 市值53.96亿
  MA10=28.54 MA20=28.25 多头:True 通道:True

#12 600857 宁波中百 [数据:100%]
  涨3.2% 量比1.84 换手3.34882% 市值46.57亿
  MA10=20.16 MA20=19.59 多头:True 通道:True

#13 600556 天下秀 [数据:100%]
  涨4.6% 量比2.89 换手5.77059% 市值90.93亿
  MA10=4.65 MA20=4.87 多头:False 通道:True

#14 002458 益生股份 [数据:100%]
  涨4.6% 量比1.99 换手7.73534% 市值134.53亿
  MA10=9.01 MA20=9.28 多头:False 通道:True

#15 002320 海峡股份 [数据:100%]
  涨4.5% 量比1.76 换手3.6652% 市值154.79亿
  MA10=6.56 MA20=6.62 多头:False 通道:True
