隔夜持股法改进版 — 2026-09-03
==================================================

#1 601975 招商南油 [数据:100%]
  涨4.9% 量比1.44 换手5.37318% 市值200.32亿
  MA10=4.08 MA20=3.88 多头:True 通道:True

#2 601579 会稽山 [数据:100%]
  涨4.7% 量比1.23 换手5.22315% 市值104.91亿
  MA10=20.13 MA20=18.69 多头:True 通道:True

#3 605277 新亚电子 [数据:100%]
  涨4.7% 量比1.41 换手7.71994% 市值71.23亿
  MA10=16.46 MA20=15.78 多头:True 通道:True

#4 600776 东方通信 [数据:100%]
  涨4.4% 量比3.3 换手4.84813% 市值168.93亿
  MA10=12.91 MA20=12.85 多头:True 通道:True

#5 603380 易德龙 [数据:100%]
  涨4.4% 量比2.13 换手4.54453% 市值56.46亿
  MA10=34.48 MA20=34.11 多头:True 通道:True

#6 603599 广信股份 [数据:100%]
  涨4.3% 量比1.54 换手3.50996% 市值96.31亿
  MA10=10.24 MA20=10.23 多头:True 通道:True

#7 002761 浙江建投 [数据:100%]
  涨4.3% 量比4.28 换手4.67361% 市值102.02亿
  MA10=7.31 MA20=7.28 多头:True 通道:True

#8 603105 芯能科技 [数据:100%]
  涨4.3% 量比1.48 换手6.4735% 市值40.45亿
  MA10=7.73 MA20=7.44 多头:True 通道:True

#9 605118 力鼎光电 [数据:100%]
  涨3.7% 量比2.28 换手4.34157% 市值146.81亿
  MA10=30.8 MA20=30.16 多头:True 通道:True

#10 002040 南 京 港 [数据:100%]
  涨3.6% 量比1.82 换手6.53806% 市值44.57亿
  MA10=8.83 MA20=8.58 多头:True 通道:True

#11 600088 中视传媒 [数据:100%]
  涨3.3% 量比4.24 换手5.96628% 市值49.24亿
  MA10=11.76 MA20=11.73 多头:True 通道:True

#12 600391 航发科技 [数据:100%]
  涨3.2% 量比1.45 换手4.65809% 市值120.17亿
  MA10=33.25 MA20=32.08 多头:True 通道:True

#13 002846 英联股份 [数据:100%]
  涨3.2% 量比2.99 换手5.92758% 市值47.5亿
  MA10=10.81 MA20=10.74 多头:True 通道:True

#14 000070 特发信息 [数据:100%]
  涨4.8% 量比1.23 换手8.95061% 市值141.37亿
  MA10=15.73 MA20=15.26 多头:True 通道:True

#15 002988 豪美新材 [数据:100%]
  涨4.2% 量比1.36 换手3.53506% 市值60.83亿
  MA10=24.15 MA20=23.1 多头:True 通道:True
