隔夜持股法改进版 — 2026-09-04
==================================================

#1 600325 华发股份 [数据:100%]
  涨4.8% 量比1.69 换手5.87365% 市值72.38亿
  MA10=2.44 MA20=2.43 多头:True 通道:True

#2 601975 招商南油 [数据:100%]
  涨4.7% 量比1.52 换手6.38896% 市值209.68亿
  MA10=4.13 MA20=3.91 多头:True 通道:True

#3 002840 华统股份 [数据:100%]
  涨4.6% 量比1.7 换手5.55068% 市值74.2亿
  MA10=8.55 MA20=8.44 多头:True 通道:True

#4 600684 珠江股份 [数据:100%]
  涨4.3% 量比1.83 换手5.60415% 市值40.48亿
  MA10=3.65 MA20=3.56 多头:True 通道:True

#5 000753 漳州发展 [数据:100%]
  涨4.2% 量比3.32 换手5.9566% 市值51.36亿
  MA10=4.9 MA20=4.83 多头:True 通道:True

#6 600657 信达地产 [数据:100%]
  涨4.2% 量比2.87 换手8.74798% 市值99.82亿
  MA10=2.86 MA20=2.73 多头:True 通道:True

#7 601595 上海电影 [数据:100%]
  涨4.2% 量比1.56 换手6.58762% 市值84.04亿
  MA10=17.44 MA20=17.35 多头:True 通道:True

#8 600391 航发科技 [数据:100%]
  涨4.1% 量比1.81 换手6.06729% 市值125.15亿
  MA10=33.97 MA20=32.44 多头:True 通道:True

#9 000905 厦门港务 [数据:100%]
  涨4.1% 量比2.81 换手4.11687% 市值143.9亿
  MA10=8.89 MA20=8.73 多头:True 通道:True

#10 605365 立达信 [数据:100%]
  涨4.0% 量比1.8 换手4.5482% 市值79.52亿
  MA10=14.78 MA20=14.34 多头:True 通道:True

#11 603976 正川股份 [数据:100%]
  涨4.0% 量比1.34 换手5.88399% 市值61.47亿
  MA10=30.64 MA20=29.18 多头:True 通道:True

#12 600185 珠免集团 [数据:100%]
  涨3.8% 量比4.03 换手8.76954% 市值103.3亿
  MA10=4.84 MA20=4.75 多头:True 通道:True

#13 002011 盾安环境 [数据:100%]
  涨3.5% 量比3.63 换手3.36881% 市值116.58亿
  MA10=10.25 MA20=10.18 多头:True 通道:True

#14 002258 利尔化学 [数据:100%]
  涨3.5% 量比1.7 换手4.42654% 市值118.94亿
  MA10=14.43 MA20=14.42 多头:True 通道:True

#15 600383 金地集团 [数据:100%]
  涨3.5% 量比1.31 换手3.80607% 市值107.9亿
  MA10=2.28 MA20=2.26 多头:True 通道:True
