隔夜持股法改进版 — 2026-09-07
==================================================

#1 603380 易德龙 [数据:100%]
  涨5.0% 量比1.38 换手3.82551% 市值55.95亿
  MA10=34.35 MA20=34.19 多头:True 通道:True

#2 003006 百亚股份 [数据:100%]
  涨4.9% 量比1.64 换手3.21211% 市值66.08亿
  MA10=14.21 MA20=13.89 多头:True 通道:True

#3 002324 普利特 [数据:100%]
  涨4.8% 量比2.14 换手5.49986% 市值105.0亿
  MA10=9.24 MA20=9.21 多头:True 通道:True

#4 603867 新化股份 [数据:100%]
  涨4.7% 量比1.62 换手5.62063% 市值66.25亿
  MA10=29.8 MA20=29.31 多头:True 通道:True

#5 603418 友升股份 [数据:100%]
  涨4.7% 量比3.54 换手7.85797% 市值89.0亿
  MA10=44.53 MA20=44.2 多头:True 通道:True

#6 002798 帝欧水华 [数据:100%]
  涨4.7% 量比1.53 换手4.13968% 市值40.71亿
  MA10=6.25 MA20=5.99 多头:True 通道:True

#7 603150 万朗磁塑 [数据:100%]
  涨4.5% 量比1.84 换手8.5228% 市值59.4亿
  MA10=57.28 MA20=55.38 多头:True 通道:True

#8 601116 三江购物 [数据:100%]
  涨4.2% 量比1.69 换手7.38364% 市值64.85亿
  MA10=11.12 MA20=10.94 多头:True 通道:True

#9 001311 多利科技 [数据:100%]
  涨4.6% 量比1.83 换手4.06158% 市值72.78亿
  MA10=17.48 MA20=17.8 多头:False 通道:True

#10 002891 中宠股份 [数据:100%]
  涨4.1% 量比1.8 换手3.68401% 市值95.83亿
  MA10=28.51 MA20=29.38 多头:False 通道:True

#11 001359 平安电工 [数据:100%]
  涨4.7% 量比1.5 换手7.06017% 市值201.39亿
  MA10=85.95 MA20=88.15 多头:False 通道:False

#12 603667 五洲新春 [数据:100%]
  涨4.7% 量比1.89 换手6.07985% 市值195.91亿
  MA10=50.95 MA20=52.5 多头:False 通道:False

#13 000833 粤桂股份 [数据:100%]
  涨4.6% 量比1.73 换手7.1321% 市值177.44亿
  MA10=20.73 MA20=20.86 多头:False 通道:False

#14 002119 康强电子 [数据:100%]
  涨4.4% 量比1.21 换手8.13216% 市值85.75亿
  MA10=22.89 MA20=23.48 多头:False 通道:False

#15 603678 火炬电子 [数据:100%]
  涨4.2% 量比1.22 换手3.79433% 市值216.1亿
  MA10=45.92 MA20=47.81 多头:False 通道:False
