隔夜持股法改进版 — 2026-09-08
==================================================

#1 000923 河钢资源 [数据:100%]
  涨5.0% 量比1.79 换手3.818% 市值113.18亿
  MA10=16.56 MA20=15.88 多头:True 通道:True

#2 002988 豪美新材 [数据:100%]
  涨4.9% 量比1.6 换手6.1212% 市值75.37亿
  MA10=25.5 MA20=24.16 多头:True 通道:True

#3 600351 亚宝药业 [数据:100%]
  涨4.8% 量比1.61 换手4.3363% 市值48.51亿
  MA10=6.88 MA20=6.84 多头:True 通道:True

#4 002734 利民股份 [数据:100%]
  涨4.5% 量比1.84 换手6.45225% 市值83.29亿
  MA10=16.57 MA20=15.82 多头:True 通道:True

#5 600866 星湖科技 [数据:100%]
  涨4.3% 量比2.32 换手3.43937% 市值76.59亿
  MA10=4.39 MA20=4.37 多头:True 通道:True

#6 000422 湖北宜化 [数据:100%]
  涨4.2% 量比2.15 换手4.2472% 市值141.17亿
  MA10=12.74 MA20=12.67 多头:True 通道:True

#7 002146 荣盛发展 [数据:100%]
  涨4.2% 量比1.42 换手4.8012% 市值54.35亿
  MA10=1.19 MA20=1.18 多头:True 通道:True

#8 600078 澄星股份 [数据:100%]
  涨4.1% 量比1.48 换手4.68828% 市值75.44亿
  MA10=11.06 MA20=10.98 多头:True 通道:True

#9 000782 恒申新材 [数据:100%]
  涨4.1% 量比1.67 换手3.46808% 市值54.1亿
  MA10=7.76 MA20=7.76 多头:True 通道:True

#10 002258 利尔化学 [数据:100%]
  涨3.9% 量比2.18 换手6.70647% 市值124.47亿
  MA10=14.64 MA20=14.51 多头:True 通道:True

#11 002607 中公教育 [数据:100%]
  涨3.9% 量比1.94 换手4.37713% 市值131.37亿
  MA10=2.08 MA20=2.08 多头:True 通道:True

#12 002516 旷达科技 [数据:100%]
  涨3.7% 量比2.77 换手4.81893% 市值89.72亿
  MA10=5.55 MA20=5.43 多头:True 通道:True

#13 002556 辉隆股份 [数据:100%]
  涨3.3% 量比1.74 换手3.55268% 市值52.36亿
  MA10=5.37 MA20=5.24 多头:True 通道:True

#14 000862 银星能源 [数据:100%]
  涨3.2% 量比1.9 换手3.24627% 市值50.12亿
  MA10=5.3 MA20=5.3 多头:True 通道:True

#15 002385 大北农 [数据:100%]
  涨3.1% 量比1.21 换手7.60108% 市值154.52亿
  MA10=3.4 MA20=3.29 多头:True 通道:True
