隔夜持股法改进版 — 2026-09-09
==================================================

#1 003019 宸展光电 [数据:100%]
  涨5.0% 量比1.55 换手3.95853% 市值49.79亿
  MA10=27.41 MA20=25.86 多头:True 通道:True

#2 001316 润贝航科 [数据:100%]
  涨4.9% 量比1.68 换手7.17441% 市值49.98亿
  MA10=28.05 MA20=27.12 多头:True 通道:True

#3 603216 梦天家居 [数据:100%]
  涨4.8% 量比1.32 换手7.02269% 市值50.8亿
  MA10=22.18 MA20=21.49 多头:True 通道:True

#4 600590 泰豪科技 [数据:100%]
  涨4.7% 量比2.3 换手5.29797% 市值77.61亿
  MA10=8.62 MA20=8.54 多头:True 通道:True

#5 601015 陕西黑猫 [数据:100%]
  涨4.6% 量比1.46 换手7.4668% 市值83.33亿
  MA10=3.8 MA20=3.66 多头:True 通道:True

#6 603139 康惠股份 [数据:100%]
  涨4.0% 量比1.38 换手3.69789% 市值41.52亿
  MA10=36.85 MA20=36.1 多头:True 通道:True

#7 002320 海峡股份 [数据:100%]
  涨3.9% 量比1.4 换手4.31117% 市值167.76亿
  MA10=6.95 MA20=6.72 多头:True 通道:True

#8 002915 中欣氟材 [数据:100%]
  涨3.9% 量比2.16 换手7.97693% 市值63.27亿
  MA10=18.35 MA20=17.84 多头:True 通道:True

#9 000612 焦作万方 [数据:100%]
  涨3.6% 量比1.57 换手4.46741% 市值135.79亿
  MA10=11.2 MA20=11.15 多头:True 通道:True

#10 002366 融发核电 [数据:100%]
  涨3.5% 量比1.84 换手4.54301% 市值127.98亿
  MA10=6.04 MA20=5.94 多头:True 通道:True

#11 600198 大唐电信 [数据:100%]
  涨3.5% 量比2.41 换手3.01394% 市值103.64亿
  MA10=7.78 MA20=7.74 多头:True 通道:True

#12 600798 宁波海运 [数据:100%]
  涨3.5% 量比2.56 换手5.52856% 市值43.31亿
  MA10=3.37 MA20=3.33 多头:True 通道:True

#13 601020 华钰矿业 [数据:100%]
  涨3.2% 量比1.71 换手6.37215% 市值190.4亿
  MA10=22.83 MA20=22.38 多头:True 通道:True

#14 600758 辽宁能源 [数据:100%]
  涨3.7% 量比1.39 换手7.69837% 市值52.09亿
  MA10=3.73 MA20=3.59 多头:True 通道:True

#15 001223 欧克科技 [数据:100%]
  涨4.9% 量比1.63 换手4.28867% 市值54.97亿
  MA10=40.1 MA20=40.43 多头:False 通道:True
