隔夜持股法改进版 — 2026-09-10
==================================================

#1 002161 远 望 谷 [数据:100%]
  涨4.9% 量比2.49 换手5.4033% 市值54.08亿
  MA10=6.99 MA20=6.46 多头:True 通道:True

#2 002320 海峡股份 [数据:100%]
  涨4.4% 量比1.52 换手5.33129% 市值175.14亿
  MA10=7.08 MA20=6.78 多头:True 通道:True

#3 600391 航发科技 [数据:100%]
  涨4.2% 量比1.34 换手8.07829% 市值140.64亿
  MA10=37.52 MA20=34.36 多头:True 通道:True

#4 600310 广西能源 [数据:100%]
  涨4.1% 量比3.45 换手8.87936% 市值70.65亿
  MA10=4.48 MA20=4.33 多头:True 通道:True

#5 002596 海南瑞泽 [数据:100%]
  涨4.0% 量比3.58 换手6.03101% 市值41.66亿
  MA10=3.43 MA20=3.33 多头:True 通道:True

#6 000863 三湘印象 [数据:100%]
  涨3.8% 量比2.75 换手4.42423% 市值54.31亿
  MA10=4.29 MA20=4.22 多头:True 通道:True

#7 000810 创维数字 [数据:100%]
  涨3.8% 量比3.2 换手3.87923% 市值113.18亿
  MA10=9.82 MA20=9.7 多头:True 通道:True

#8 001388 信通电子 [数据:100%]
  涨3.6% 量比2.27 换手7.67635% 市值52.83亿
  MA10=21.69 MA20=21.7 多头:False 通道:True

#9 002132 恒星科技 [数据:100%]
  涨3.6% 量比2.1 换手7.53634% 市值60.83亿
  MA10=4.33 MA20=4.48 多头:False 通道:False
