隔夜持股法改进版 — 2026-09-11
==================================================

#1 605277 新亚电子 [数据:100%]
  涨5.0% 量比1.36 换手8.22396% 市值70.56亿
  MA10=17.27 MA20=16.37 多头:True 通道:True

#2 600682 南京新百 [数据:100%]
  涨4.4% 量比4.84 换手5.60591% 市值80.3亿
  MA10=5.75 MA20=5.75 多头:True 通道:True

#3 600776 东方通信 [数据:100%]
  涨4.0% 量比1.46 换手6.12211% 市值178.73亿
  MA10=13.38 MA20=13.04 多头:True 通道:True

#4 003039 顺控发展 [数据:100%]
  涨3.7% 量比1.35 换手4.01562% 市值87.5亿
  MA10=13.14 MA20=12.53 多头:True 通道:True

#5 601218 吉鑫科技 [数据:100%]
  涨3.7% 量比4.6 换手8.42188% 市值46.51亿
  MA10=4.57 MA20=4.51 多头:True 通道:True

#6 002134 天津普林 [数据:100%]
  涨3.7% 量比1.79 换手7.16888% 市值57.54亿
  MA10=22.67 MA20=22.11 多头:True 通道:True

#7 600982 宁波能源 [数据:100%]
  涨3.6% 量比3.5 换手7.05256% 市值58.45亿
  MA10=4.95 MA20=4.9 多头:True 通道:True

#8 002106 莱宝高科 [数据:100%]
  涨3.2% 量比1.42 换手3.85921% 市值78.7亿
  MA10=10.82 MA20=10.6 多头:True 通道:True

#9 000720 新能泰山 [数据:100%]
  涨3.1% 量比2.46 换手4.4708% 市值50.01亿
  MA10=3.86 MA20=3.82 多头:True 通道:True

#10 003007 直真科技 [数据:100%]
  涨3.1% 量比2.29 换手4.80485% 市值47.89亿
  MA10=39.48 MA20=38.91 多头:True 通道:True

#11 002298 中电鑫龙 [数据:100%]
  涨3.1% 量比1.39 换手6.94493% 市值62.47亿
  MA10=8.38 MA20=8.27 多头:True 通道:True
