隔夜持股法改进版 — 2026-09-14
==================================================

#1 002925 盈趣科技 [数据:100%]
  涨4.4% 量比1.96 换手3.52007% 市值189.37亿
  MA10=23.39 MA20=23.12 多头:True 通道:True

#2 000726 鲁 泰Ａ [数据:100%]
  涨4.3% 量比4.81 换手3.5402% 市值49.54亿
  MA10=5.94 MA20=5.94 多头:True 通道:True

#3 001312 福恩股份 [数据:100%]
  涨4.0% 量比2.15 换手4.46266% 市值41.11亿
  MA10=17.55 MA20=17.54 多头:True 通道:True

#4 603139 康惠股份 [数据:100%]
  涨3.9% 量比1.85 换手5.02399% 市值43.3亿
  MA10=37.91 MA20=36.6 多头:True 通道:True

#5 002106 莱宝高科 [数据:100%]
  涨3.9% 量比2.18 换手6.16192% 市值81.73亿
  MA10=10.92 MA20=10.64 多头:True 通道:True

#6 000957 中通客车 [数据:100%]
  涨3.5% 量比1.5 换手3.98753% 市值62.43亿
  MA10=10.35 MA20=10.33 多头:True 通道:True

#7 600163 中闽能源 [数据:100%]
  涨3.2% 量比2.14 换手4.0762% 市值108.85亿
  MA10=5.33 MA20=5.17 多头:True 通道:True

#8 600207 安彩高科 [数据:100%]
  涨3.2% 量比6.59 换手8.81412% 市值55.55亿
  MA10=4.59 MA20=4.49 多头:True 通道:True

#9 002845 同兴达 [数据:100%]
  涨3.2% 量比1.51 换手3.91841% 市值45.43亿
  MA10=13.61 MA20=13.45 多头:True 通道:True

#10 600654 中安科 [数据:100%]
  涨4.5% 量比2.83 换手7.12557% 市值91.91亿
  MA10=3.24 MA20=3.15 多头:True 通道:False

#11 603255 鼎际得 [数据:100%]
  涨3.8% 量比1.44 换手3.1067% 市值40.16亿
  MA10=30.98 MA20=30.44 多头:True 通道:False

#12 001386 马可波罗 [数据:100%]
  涨3.5% 量比1.6 换手5.46948% 市值189.39亿
  MA10=16.11 MA20=15.96 多头:True 通道:False

#13 601199 江南水务 [数据:100%]
  涨4.9% 量比4.6 换手6.14622% 市值63.5亿
  MA10=6.06 MA20=6.17 多头:False 通道:True

#14 002139 拓邦股份 [数据:100%]
  涨4.5% 量比3.51 换手3.80155% 市值125.06亿
  MA10=9.46 MA20=9.55 多头:False 通道:True

#15 003013 地铁设计 [数据:100%]
  涨3.7% 量比1.37 换手3.8873% 市值89.9亿
  MA10=17.23 MA20=17.45 多头:False 通道:True
