隔夜持股法改进版 — 2026-09-16
==================================================

#1 000561 烽火电子 [数据:100%]
  涨4.1% 量比3.24 换手3.70334% 市值68.69亿
  MA10=7.86 MA20=7.79 多头:True 通道:True

#2 002163 海南发展 [数据:100%]
  涨4.7% 量比1.57 换手5.69372% 市值73.76亿
  MA10=8.81 MA20=8.59 多头:True 通道:False

#3 603928 兴业股份 [数据:100%]
  涨4.9% 量比1.86 换手6.15748% 市值41.74亿
  MA10=11.53 MA20=11.88 多头:False 通道:True

#4 603010 万盛股份 [数据:100%]
  涨4.8% 量比2.43 换手3.05562% 市值71.9亿
  MA10=11.66 MA20=11.69 多头:False 通道:True

#5 603931 格林达 [数据:100%]
  涨4.5% 量比1.66 换手3.18538% 市值71.1亿
  MA10=33.73 MA20=34.56 多头:False 通道:True

#6 605488 福莱新材 [数据:100%]
  涨4.4% 量比1.3 换手3.22966% 市值87.72亿
  MA10=28.8 MA20=29.04 多头:False 通道:True

#7 002745 木林森 [数据:100%]
  涨4.4% 量比1.26 换手7.05439% 市值183.74亿
  MA10=11.38 MA20=11.39 多头:False 通道:True

#8 603738 泰晶科技 [数据:100%]
  涨4.2% 量比1.27 换手7.81398% 市值143.94亿
  MA10=35.68 MA20=36.92 多头:False 通道:True

#9 603507 振江股份 [数据:100%]
  涨3.9% 量比3.22 换手7.34727% 市值56.27亿
  MA10=22.5 MA20=22.88 多头:False 通道:True

#10 603065 宿迁联盛 [数据:100%]
  涨5.0% 量比2.44 换手8.21582% 市值60.33亿
  MA10=14.12 MA20=15.64 多头:False 通道:False

#11 603373 安邦护卫 [数据:100%]
  涨4.9% 量比1.48 换手3.10782% 市值62.55亿
  MA10=40.22 MA20=40.58 多头:False 通道:True

#12 002150 正泰电源 [数据:100%]
  涨4.8% 量比3.07 换手3.73744% 市值74.92亿
  MA10=20.52 MA20=21.31 多头:False 通道:False

#13 603078 江化微 [数据:100%]
  涨4.4% 量比1.56 换手5.18008% 市值126.37亿
  MA10=31.82 MA20=33.38 多头:False 通道:False

#14 002774 快意电梯 [数据:100%]
  涨4.0% 量比1.25 换手3.91522% 市值53.97亿
  MA10=15.69 MA20=15.92 多头:False 通道:True
