隔夜持股法改进版 — 2026-09-17
==================================================

#1 603020 爱普股份 [数据:100%]
  涨4.9% 量比1.44 换手5.22857% 市值42.56亿
  MA10=10.66 MA20=10.4 多头:True 通道:True

#2 002062 宏润建设 [数据:100%]
  涨4.4% 量比3.21 换手4.56151% 市值116.8亿
  MA10=8.87 MA20=8.48 多头:True 通道:True

#3 600400 红豆股份 [数据:100%]
  涨4.1% 量比1.25 换手3.35361% 市值76.3亿
  MA10=3.13 MA20=3.04 多头:True 通道:True

#4 000607 华媒控股 [数据:100%]
  涨3.9% 量比2.84 换手6.223% 市值41.12亿
  MA10=3.89 MA20=3.82 多头:True 通道:True

#5 002268 电科网安 [数据:100%]
  涨3.7% 量比1.36 换手3.2743% 市值124.31亿
  MA10=14.23 MA20=14.09 多头:True 通道:True

#6 603112 华翔股份 [数据:100%]
  涨3.7% 量比1.64 换手3.48332% 市值91.79亿
  MA10=16.71 MA20=16.55 多头:True 通道:True

#7 002292 奥飞娱乐 [数据:100%]
  涨3.6% 量比1.35 换手4.0437% 市值127.61亿
  MA10=8.54 MA20=8.39 多头:True 通道:True

#8 603418 友升股份 [数据:100%]
  涨3.2% 量比1.42 换手4.34076% 市值88.66亿
  MA10=45.64 MA20=44.88 多头:True 通道:True

#9 603608 天创时尚 [数据:100%]
  涨4.8% 量比1.6 换手4.0357% 市值90.15亿
  MA10=21.4 MA20=20.25 多头:True 通道:False

#10 000678 襄阳轴承 [数据:100%]
  涨4.5% 量比2.49 换手3.24866% 市值41.46亿
  MA10=9.05 MA20=8.97 多头:True 通道:False

#11 000571 新大洲A [数据:100%]
  涨4.1% 量比1.62 换手4.06417% 市值53.62亿
  MA10=5.95 MA20=6.03 多头:False 通道:True

#12 603667 五洲新春 [数据:100%]
  涨3.7% 量比1.56 换手4.79036% 市值193.53亿
  MA10=49.35 MA20=50.3 多头:False 通道:True

#13 002956 西麦食品 [数据:100%]
  涨3.3% 量比4.02 换手5.74975% 市值54.04亿
  MA10=16.25 MA20=16.58 多头:False 通道:True

#14 605488 福莱新材 [数据:100%]
  涨3.0% 量比1.29 换手3.42632% 市值90.39亿
  MA10=28.98 MA20=29.09 多头:False 通道:True

#15 601929 吉视传媒 [数据:100%]
  涨3.4% 量比1.32 换手3.79411% 市值85.5亿
  MA10=2.49 MA20=2.45 多头:True 通道:False
