隔夜持股法改进版 — 2026-09-21
==================================================

#1 002146 荣盛发展 [数据:100%]
  涨5.0% 量比3.35 换手7.03522% 市值54.79亿
  MA10=1.19 MA20=1.19 多头:True 通道:True

#2 603608 天创时尚 [数据:100%]
  涨4.9% 量比1.87 换手5.15829% 市值94.06亿
  MA10=21.32 MA20=20.58 多头:True 通道:True

#3 603567 珍宝岛 [数据:100%]
  涨4.9% 量比1.99 换手3.24404% 市值52.28亿
  MA10=5.38 MA20=5.53 多头:False 通道:True

#4 600829 人民同泰 [数据:100%]
  涨4.8% 量比1.79 换手3.08363% 市值58.45亿
  MA10=9.67 MA20=9.95 多头:False 通道:True

#5 002515 金字火腿 [数据:100%]
  涨4.7% 量比1.45 换手7.04994% 市值96.24亿
  MA10=7.57 MA20=7.79 多头:False 通道:True
