隔夜持股法改进版 — 2026-09-22
==================================================

#1 003033 征和工业 [数据:100%]
  涨4.7% 量比1.44 换手4.93793% 市值73.0亿
  MA10=80.22 MA20=74.09 多头:True 通道:True

#2 002827 高争民爆 [数据:100%]
  涨4.5% 量比2.69 换手8.03423% 市值205.79亿
  MA10=65.69 MA20=63.54 多头:True 通道:True

#3 603150 万朗磁塑 [数据:100%]
  涨4.4% 量比1.34 换手3.69641% 市值62.8亿
  MA10=69.6 MA20=64.34 多头:True 通道:True

#4 002774 快意电梯 [数据:100%]
  涨4.4% 量比1.26 换手6.48595% 市值58.79亿
  MA10=16.31 MA20=16.11 多头:True 通道:True

#5 601900 南方传媒 [数据:100%]
  涨4.4% 量比2.04 换手3.17565% 市值111.83亿
  MA10=12.31 MA20=12.22 多头:True 通道:True

#6 002439 启明星辰 [数据:100%]
  涨4.0% 量比1.61 换手7.96224% 市值177.95亿
  MA10=13.73 MA20=13.58 多头:True 通道:True

#7 001283 豪鹏科技 [数据:100%]
  涨3.9% 量比2.92 换手6.61273% 市值63.35亿
  MA10=48.18 MA20=48.05 多头:True 通道:True

#8 600679 上海凤凰 [数据:100%]
  涨3.8% 量比3.33 换手4.76552% 市值54.09亿
  MA10=10.2 MA20=10.15 多头:True 通道:True

#9 600857 宁波中百 [数据:100%]
  涨3.5% 量比1.74 换手5.47381% 市值54.38亿
  MA10=22.15 MA20=21.41 多头:True 通道:True

#10 603859 能科科技 [数据:100%]
  涨3.5% 量比1.74 换手3.6228% 市值107.63亿
  MA10=38.45 MA20=38.22 多头:True 通道:True

#11 600325 华发股份 [数据:100%]
  涨3.3% 量比2.63 换手7.52661% 市值77.61亿
  MA10=2.51 MA20=2.5 多头:True 通道:True

#12 603105 芯能科技 [数据:100%]
  涨4.3% 量比1.34 换手7.62739% 市值42.65亿
  MA10=8.2 MA20=8.02 多头:True 通道:True

#13 002093 国脉科技 [数据:100%]
  涨4.0% 量比1.25 换手5.39438% 市值78.08亿
  MA10=7.48 MA20=7.25 多头:True 通道:True

#14 002647 仁东控股 [数据:100%]
  涨4.1% 量比3.37 换手5.47355% 市值134.14亿
  MA10=11.1 MA20=11.43 多头:False 通道:True

#15 002440 闰土股份 [数据:100%]
  涨4.0% 量比1.57 换手4.97791% 市值145.45亿
  MA10=12.1 MA20=12.72 多头:False 通道:True
