隔夜持股法改进版 — 2026-09-23
==================================================

#1 603661 恒林股份 [数据:100%]
  涨4.6% 量比1.63 换手3.9948% 市值49.55亿
  MA10=32.44 MA20=31.85 多头:True 通道:True

#2 603826 坤彩科技 [数据:100%]
  涨4.4% 量比3.1 换手3.55005% 市值145.48亿
  MA10=16.51 MA20=16.44 多头:True 通道:True

#3 002383 合众思壮 [数据:100%]
  涨3.8% 量比1.32 换手7.77713% 市值63.08亿
  MA10=8.01 MA20=7.66 多头:True 通道:True

#4 002338 奥普光电 [数据:100%]
  涨3.4% 量比2.06 换手4.37274% 市值112.08亿
  MA10=41.97 MA20=41.86 多头:True 通道:True

#5 603150 万朗磁塑 [数据:100%]
  涨3.4% 量比1.67 换手4.97724% 市值64.95亿
  MA10=70.19 MA20=65.56 多头:True 通道:True

#6 603125 江苏常青树科技 [数据:100%]
  涨3.1% 量比3.91 换手3.15212% 市值99.27亿
  MA10=23.55 MA20=23.29 多头:True 通道:True

#7 603681 永冠新材 [数据:100%]
  涨3.0% 量比1.49 换手4.86536% 市值47.22亿
  MA10=18.92 MA20=18.65 多头:True 通道:True

#8 600231 凌钢股份 [数据:100%]
  涨4.8% 量比5.49 换手3.31604% 市值50.55亿
  MA10=1.72 MA20=1.74 多头:False 通道:True

#9 605268 王力安防 [数据:100%]
  涨4.7% 量比8.42 换手4.39637% 市值45.51亿
  MA10=9.66 MA20=9.68 多头:False 通道:True

#10 000555 神州信息 [数据:100%]
  涨4.5% 量比5.52 换手5.86268% 市值107.43亿
  MA10=10.53 MA20=10.73 多头:False 通道:True

#11 601133 柏诚系统股份公司 [数据:100%]
  涨4.4% 量比2.18 换手5.77638% 市值136.91亿
  MA10=24.2 MA20=24.35 多头:False 通道:True

#12 002375 亚厦股份 [数据:100%]
  涨3.7% 量比3.22 换手3.2535% 市值52.93亿
  MA10=3.81 MA20=3.84 多头:False 通道:True

#13 603912 佳力图 [数据:100%]
  涨3.6% 量比1.49 换手3.47801% 市值49.51亿
  MA10=8.59 MA20=8.84 多头:False 通道:True

#14 603229 奥翔药业 [数据:100%]
  涨3.6% 量比4.1 换手3.35884% 市值69.74亿
  MA10=7.76 MA20=7.83 多头:False 通道:True

#15 002951 金时科技 [数据:100%]
  涨3.6% 量比4.79 换手3.2953% 市值67.84亿
  MA10=15.9 MA20=15.97 多头:False 通道:True
