隔夜持股法改进版 — 2026-09-24
==================================================

#1 600207 安彩高科 [数据:100%]
  涨4.5% 量比2.1 换手7.45243% 市值56.21亿
  MA10=4.92 MA20=4.7 多头:True 通道:True

#2 605488 福莱新材 [数据:100%]
  涨3.9% 量比2.28 换手5.58884% 市值96.66亿
  MA10=29.73 MA20=29.39 多头:True 通道:True

#3 002785 万里石 [数据:100%]
  涨3.9% 量比1.43 换手7.20852% 市值92.91亿
  MA10=38.48 MA20=37.02 多头:True 通道:True

#4 603955 大千生态 [数据:100%]
  涨3.8% 量比1.73 换手3.58385% 市值42.19亿
  MA10=23.42 MA20=22.4 多头:True 通道:True

#5 000797 中国武夷 [数据:100%]
  涨3.7% 量比1.39 换手5.11183% 市值43.67亿
  MA10=2.62 MA20=2.6 多头:True 通道:True

#6 001288 运机集团 [数据:100%]
  涨3.4% 量比1.41 换手5.25477% 市值81.44亿
  MA10=30.75 MA20=30.05 多头:True 通道:True

#7 002568 百润股份 [数据:100%]
  涨3.3% 量比1.97 换手3.08275% 市值200.51亿
  MA10=18.0 MA20=17.95 多头:True 通道:True

#8 002935 天奥电子 [数据:100%]
  涨3.2% 量比4.59 换手7.23877% 市值76.27亿
  MA10=16.17 MA20=15.99 多头:True 通道:True

#9 000700 模塑科技 [数据:100%]
  涨3.4% 量比1.21 换手7.59183% 市值114.48亿
  MA10=11.79 MA20=11.69 多头:True 通道:True

#10 002638 勤上股份 [数据:100%]
  涨4.0% 量比3.67 换手8.4021% 市值70.82亿
  MA10=4.31 MA20=4.37 多头:False 通道:True

#11 603121 华培动力 [数据:100%]
  涨4.0% 量比1.97 换手3.25642% 市值44.48亿
  MA10=12.48 MA20=12.96 多头:False 通道:True

#12 002520 日发精机 [数据:100%]
  涨3.4% 量比2.65 换手7.41497% 市值48.47亿
  MA10=6.22 MA20=6.34 多头:False 通道:True

#13 002035 华帝股份 [数据:100%]
  涨3.2% 量比3.39 换手6.15063% 市值40.94亿
  MA10=4.6 MA20=4.63 多头:False 通道:True

#14 002478 常宝股份 [数据:100%]
  涨3.9% 量比3.06 换手5.21302% 市值60.53亿
  MA10=6.58 MA20=6.75 多头:False 通道:False

#15 600758 辽宁能源 [数据:100%]
  涨3.7% 量比1.56 换手6.59516% 市值48.12亿
  MA10=3.69 MA20=3.73 多头:False 通道:False
